stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0.28,0,0.28,0,0.28,0.85,0
21Day,0.37,0.74,0,0.37,0.37,0,0,0.37,0.74,0.37,0.37,0,0,0,0,0,0.37
3Month,0,0.21,0,0,0,0.1,0.1,0,0,0,0.1,0.1,0,0,0,0,0
