stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.97,0,0.28,0,0,0,0,0,0,0,0,0,0.85,10.71,0,0.56,0.28,0,0,7.33,1.41,0,0,0.56,0,0,0,0,0,0,0,0
21Day,1.11,0,0,18.13,0.74,1.48,0,0.37,0,0,0,0,0,1.11,0,1.48,8.51,0,2.22,0,0,0,25.53,1.48,0.37,0.37,3.33,0.74,0,1.11,0.74,0.74,0,0,0
3Month,0,0,0.21,4.99,0,0,0,0,1.14,0.21,0,0.52,0.31,0.31,2.81,0,0.21,0.21,0.21,0,0,0.1,0,0,0.1,0,0.1,8.01,0,0,0,0,0.21,0.73,0.31
22Month,0,0.14,3.55,11.62,0,0,0.27,0,5.74,0.41,3.28,10.39,0.41,0,31.7,0.14,0.68,0.68,0.68,0.27,2.87,0,0.55,0,1.09,0,0.14,6.42,0.27,0.14,0,0,0,0,0
