stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.56,2.25,0.28,0.28,0,0,0,0,0,0.56,0,3.1,0,0,0.85,0.85,0,3.66,0,0,0,0.28,0
21Day,0.37,0,0,0,0.37,0,0,0,0.37,0.37,0.37,8.14,0,1.48,2.59,0,0,2.59,1.11,0,0.74,0.37,0
3Month,0.1,0.52,0.1,0.1,0,0.31,0.31,0.1,0.31,0,0,0.52,0.31,0,0,0,0,0,0.1,0,0,0,0.21
22Month,0,0.27,0.14,0,0,0,0.27,0,0.14,0,0,0.27,0,0,0,0,0.14,0,0,0.14,0,0,0
