stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0.28,0,0,3.66,2.25,0,0,0,0,0,0.56,0,0.28,0,0,0
21Day,0.37,0,0.74,0.37,0,0.37,0,0,0,0,1.48,0.37,0,0,0,1.85,0,0,1.11,0.37,0,0,0,0,0.37,0.37,0,0,0,0,0.37
3Month,0.21,0,0.42,0.83,0.21,0.31,0.21,0,22.57,0,0.1,5.41,0.21,0.1,1.46,0.31,0.21,0.31,0.21,0,0,0.1,0.1,0.42,29.96,0,0,0,0.42,8.32,1.56
22Month,0,0.41,1.23,0.55,0.41,0.14,0,0.14,38.26,0.27,0.14,2.05,0,0.14,0.27,0,3.55,0,0,0,0.41,0.14,0,0,0.55,0,0.14,0,0,0,0.55
