stage,Enterocyte,Epithelial_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0.56,0.28,0,0.28,0,0
21Day,0.37,0,0,0,0.37,0,0,0.37,0,0.37,0
3Month,0,0.1,0.21,0.1,0.1,0,0,0,0,0.1,0
22Month,0.27,0,0.41,0,0,0,0,0,0,0,0.14
