stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,1.69,0.28,0,0,0,0,0,0,0,0.85,0.28,0,0,0,0,0,0,7.33,0.28,0,0,0,0,0.28,1.13,0,0,0,0,0
21Day,0,0,0.74,2.22,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,5.18,0,0.37,0,0,0,0,0,0.74,0,0,0,0
3Month,0.21,0.31,19.14,0.52,0,0.21,0.62,0.94,4.78,0.83,0.1,1.87,5.3,1.14,1.46,1.14,0.1,0.21,0.21,0.31,4.99,0,0.31,0.1,0,1.04,8.63,0.21,0,0.21,0.31,148.22,0.73
22Month,0,0,4.65,0.14,0,0,0,0.27,2.05,0,0,0.55,0.68,0,0.14,0.14,0,0.14,0.14,0.14,0.68,0,0.14,0,0.14,0,12.71,0.14,0,0,0,0.55,0.14
