stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_cell,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0,0,2.59,0,0,0,1.11,0,0,0,1.11,0,0.37,0.74,0.37,0.37,0,0,0,0,0,0,0,0.74
3Month,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0
22Month,0.27,0.82,3.42,26.1,1.09,0.82,2.32,18.99,6.83,8.2,6.7,2.6,8.75,0.68,1.64,17.22,1.09,0.55,0.27,0.27,0.68,0.27,0,0.14,19.54
