stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,0,0,0,1,12,0,0,1,0
72hpf,0,0,1.69,0.28,0,0,0,0,0,1.97,0,2.54,0,1.41,1.41,2.54,0,0,0
21Day,0.74,0.37,16.28,0,0,0,0.37,0.37,0.37,5.18,0.37,4.07,0.74,1.85,1.11,0.74,0.37,0,0.37
3Month,0,0,0.94,0,0.1,0.1,0,0.1,0,0.21,0,0.1,0.1,0,0,0,0,0,0
22Month,0,0.27,0.14,0,0,0.68,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0
