stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
72hpf,174.46,0.28,0,2.25,0.28,2.82,0,0,0.28,0,0.28,0,0,0,1.69,5.92,0.28,3.66,0,0.85,0.28,30.44,14.66,0,4.79,0.28,0,2.25,0,0.56,0.56,0,0,0
21Day,104.71,0.37,0,9.62,0.37,4.81,1.11,0,0,0,1.85,0,2.59,1.48,0.37,3.33,2.96,8.14,0,0,0.74,8.14,2.22,0,4.44,2.22,0,0.37,0.37,2.59,0.74,0,0,2.59
3Month,7.39,0,0,1.14,0,0,0.1,0.52,0.62,0,7.07,0.83,0,0.94,0.52,0.52,1.46,0.62,0.21,0.1,0,0.62,0,0.31,0.1,0.21,2.6,0.1,0,0,0.1,0.42,0.94,0.31
22Month,3.42,0.14,0.14,0.41,0.14,0,0,0,0.41,0.14,8.2,0.14,0.27,0.41,0.14,0,0.41,0.68,0.14,0.14,0,0.14,0,0.14,0,0,5.06,1.5,0,0,0,0,0,0.14
