stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0.56,1.97,0,0,4.79,3.38,0,0,0,1.41,0,0,0.28,0.28,0,0
21Day,2.59,0,0.37,5.18,0,1.85,0,2.22,0,0.37,0,0,0.37,0,0.74,0.37,3.33,0,4.44,0,0.74,4.07,1.48,0,0.37,0,2.22,0,0,0.74,0,0.37,0
3Month,0,0,0,0.31,0,0,0,0,0.1,0,0,0.94,0,0.1,0.21,0,0.21,0.1,0.21,0,0,0,0,0.21,0,0,0,0.31,0.1,0,0,0,0.21
22Month,0,0.14,0.14,1.37,0.14,0,0.14,0,0,0.41,0.55,14.76,0.41,0.14,0.82,0,0.41,0.41,0.41,3.28,0.14,0.14,0,0.14,0,0.27,0,0,0.14,0,0,0,0
