stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
72hpf,0.85,0.28,0,0,0,0,0,0,0,0,5.92,0.28,0,0,0,0,0,0,0
21Day,0.74,0.74,0.74,0,0,0,0.74,0,0.37,0.74,34.78,0,0.37,0.37,1.11,1.48,0.37,0.37,0
3Month,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0.1
22Month,0,0.14,0,0.14,0.14,0.82,0,0,0,0.14,0.55,0,0,0,0,0,0,0,0
