stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,24,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.28,0,0,0,0,0,0,0,0,1.41,0.28,0,0.85,0,0.28,0,4.23,3.38,1.41,0,0.28,0.28,0.28,0,0,0
21Day,0.37,0,0.37,0.37,0,1.11,0,0,0.37,0,0,0.74,0,0,0.37,0.74,0,0,0.37,1.48,0,1.11,0.37,0.37,0.37,0,0,0,0.37
3Month,0,0.1,0,1.25,0.1,0,0.21,0,0.73,0.1,0,1.46,0.1,0.31,0.1,0.31,0.1,0,0,0.1,0,0.1,0.1,2.91,0,0,0.1,0.42,0.1
22Month,0,0.41,0,0.14,0,0,0.27,0.14,2.32,0,0.14,0.55,0.14,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0.14
