stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,4,21,0,0,0,0,8,79,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,2.54,1.13,3.38,1.41,0.85,0,0.28,0,0,0,0,0,0,0,1.69,2.82,0.28,9.58,0,0,0.56,0,36.92,15.5,0,0,12.12,0,0,3.95,0,0,1.13,0,0,0
21Day,1.48,1.11,5.92,0.37,1.85,0,1.85,0,0.37,0,0.37,0,2.96,0.37,1.11,0.74,3.33,12.95,0,0,1.11,0,12.21,5.55,0.37,0,5.55,1.11,0.37,1.48,0.37,0.37,0.74,0,0,3.33
3Month,0,1.98,8.74,0.1,0,0,0.42,1.25,5.51,0,2.08,2.39,0.62,0.42,0.83,8.01,3.33,4.89,1.04,0,1.04,0.52,0.73,0.1,0.52,0.31,0,0.1,4.89,0,0,0,0,1.46,2.81,3.64
22Month,0.14,1.64,2.05,0,0,0.14,0.27,0.14,6.56,1.78,4.24,2.05,0.96,0.55,0.41,0.82,3.01,3.42,0,0.14,0,0,0.27,0,0.68,0.27,0.14,0.14,0.55,0.68,0,0,0,0,0,1.64
