stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,3.95,0.28,0.56,0,0,0,0,0,0,0,0,0,0.56,3.1,0,3.38,0,0.28,0,1.13,2.54,0,0,1.97,0,0,0.56,0,0,0.56,0,0,0
21Day,0.74,0.74,8.51,0,3.7,0,4.07,0,0,0,0,0,0.37,0,0,2.96,0.37,12.21,0,1.85,0,1.85,1.85,0.37,0,3.7,1.85,0,1.85,0,0.37,0.74,0,0,0
3Month,0,1.56,16.95,0.21,0,0.42,0.83,0.21,0.83,0,3.64,0.62,0.21,0.31,0.21,11.65,3.12,8.84,1.77,0.94,0.21,0.1,0.21,0.42,0.1,0,0.31,3.22,0.94,0,0,0.21,2.18,1.14,0.31
22Month,0,0.68,3.42,0.14,0,0.27,0.27,0.14,0.68,4.65,6.83,0,0.68,0.41,0,1.64,3.14,5.88,0,0.14,0.14,0.14,0.14,0.27,0,0.14,0,0.41,0.68,0.14,0,0,0,0,0.14
