stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0.85,0,0,0.56,0.56,0,0.56,0,0,0,0,0,0
21Day,0,0,1.48,0.37,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0.74,0,0,0,1.11,0,0,0,0,0,0
3Month,0,0,1.14,0,0.1,0,0,0,0,0.52,0.1,0,0.31,0.31,0,0.21,0,0.1,0,0,0,0,0,0.62,0,0.1,0.1,0.1
22Month,0.14,0.82,1.64,0,0,0.14,0.27,0.27,1.09,21.73,0.27,0.14,0.55,0.96,0.55,1.78,1.23,0.14,0,0,0.14,0.14,0.14,0,0.14,0,0,0
