stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0,0.85,3.1,0,0,0,0,0,0,0,0,0,0,1.69,0.56,1.69,0,0.28,0.28,0,157.27,2.25,0.56,0.56,3.38,0.28,0,1.41,0,0,0.28,0,0,0
21Day,0.74,0,3.7,2.22,0,0,0,0,0,0,0,0.37,0.74,0,1.48,0,1.48,0,0,0.37,0,64.01,0.37,0.37,2.22,1.48,1.85,0,0,0.37,0.37,0.74,0,0,0
3Month,0.1,0.21,3.22,0,0.1,0.1,0.31,1.25,0,8.53,0.52,0.1,1.14,0.1,1.14,0.1,1.25,0.52,0.1,0,0.31,1.25,0.1,0.42,0.42,0,0.21,3.95,0,0,0,0,0.31,2.08,0.94
22Month,0.14,0,1.37,0,0.14,0,0,1.09,0.41,22.14,0.41,0.41,2.46,0,0.14,0.14,1.23,0,0.27,0.14,0,0.55,0.14,0.27,0.27,0,0.41,0.82,0.14,0,0,0,0,0,0.41
