stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0,0,0.28,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0.85,0.28,18.6,0.28,0,0,0,0,0,0,0,0,0,0
21Day,5.18,0,0,2.22,0.37,5.18,0.37,0,0.37,0,0.37,0.37,0,0.37,0.37,0.74,5.18,0.37,96.94,4.07,1.48,1.85,0,0.74,0.74,1.48,0.74,0,0,0
3Month,0,0.1,0,0,0,0,0,0,0,0.52,0,0,0.42,0.1,0,0,0,0.1,0,0,0,0,0.21,0,0,0,0,0.1,0.42,0
22Month,0,0,0.14,0.14,0,0,0,0.14,0.14,1.64,0,0,0,0,0.14,0,0.41,0,0.82,0,0,0,0.68,0.27,0,0,0,0,0,0.14
