stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0,0.28,0,0,0
21Day,0,2.22,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0.1,1.77,0.52,1.56,0.31,0.21,1.87,0.1,0,0,0.1,0.1,0.1
22Month,0,0,0,0.55,0,0,0,0,0.14,0,0.14,0,0
