stage,Endothelial_cell,Erythrocyte,Hepatocyte,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,1.69,0.28
21Day,0,0.37,0,2.59,0.37
22Month,0.14,0,0.27,0,0
