stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Radial_glia,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0
72hpf,0,0.28,0.28,1.97,0,0,0,0.28,0,0,0.56,0,1.13,0.28,0,0.28,0
21Day,0.74,0,2.59,0.74,0,0,0,0,1.48,0,1.11,0,0,0.37,0,0,0
3Month,0,0,0,0,0,0,0.21,0,0.1,0,0,0.1,0,0,0.1,0,0.1
22Month,0,0.14,0.27,0,0.14,0.14,0.68,0,0.27,0,0,0,0,0,0,0,0
