stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,0,0,0,0,0,0,0.28,0,0,0,13.81,1.13,1.13,0,0,0.28,0,0,0,0,0
21Day,0,0.37,0.74,0,0,0,0,1.11,0,0.37,0.74,0.37,0,7.03,1.48,0.37,0,0,0,0,0.37,0.37,0,0.37
3Month,0,0.52,0,0.1,0,0.94,0.1,0,0.1,0.21,0,0.52,0.1,0.21,0,0,0.1,0.52,0,0,0,0,0.31,0
22Month,0.14,0.27,0,0.55,0.41,2.6,0.14,0,0.27,0,0.41,0.27,0,0.41,0,0,0,0,0,0.14,0,0,0,0
