stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,9,0,0,0,4,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0,1.97,0,0.28,0,0,14.09,4.51,0.28,0,0,1.69,0,0,0.28,0,0,0,0,0
21Day,0,0.37,0,0,0.37,0.37,0,0,0,0.37,0,1.11,0,0.37,0,0.37,0.37,1.85,0,0,0.37,0,2.59,0,0,0,0,1.48,0,1.11,0.37,0,0,0,0,0.74
3Month,0,0.94,0.21,0.94,0,0,0.21,0.1,0.52,0.83,0,30.27,1.98,0.42,1.77,0.42,1.35,2.08,0.62,0,0.52,0.31,0.62,0,1.35,0.21,0,0.1,1.25,75.41,0.21,0,0,0.21,24.55,1.35
22Month,0.14,0.96,0,0.82,0,0,0.41,0,0,3.42,0.27,60.95,0.41,0.14,1.09,0,3.01,3.96,0,1.37,0,0,0.14,0,1.64,0.27,0.14,0.41,0.27,12.03,0,0.14,0.14,0.14,0,1.23
