stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.56,0,1.13,0,0,0.56,0,0,0,0,0,0.28,1.41,3.38,1.41,0,0,0,0.28,68.77,5.36,0.56,0.28,2.25,0.28,0,0,0.56,1.69,1.97,0.85,0,0
21Day,0,0,0.37,1.48,0,0.37,0.37,0,1.48,0,0.37,0,3.33,0,0.74,0.74,1.85,2.59,0,0,0.37,0,23.31,2.59,0.74,0,2.59,0.37,0,0,0,1.85,7.77,1.48,0,2.96
3Month,0.1,0.21,0,1.98,0,0,0,0.21,14.46,0,2.91,2.6,1.25,0.42,1.66,0.83,1.98,2.39,0.31,0,1.04,2.6,0.52,0.21,5.51,0.1,0.1,0.42,0.1,1.35,0.1,0.1,0,0.1,0.31,21.32
22Month,0,0.96,0,2.05,0.14,0,0,0,25.14,0.41,7.52,3.14,0.96,1.09,0.82,0.14,4.24,2.19,0.14,0.55,0.41,0,0.96,0.27,4.65,0,0.14,0,0,0.82,1.09,0.27,0,0,0,4.92
