stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,3,0,3,0,0,0,0
72hpf,0.28,0.28,0.28,0.85,0,12.97,23.96,0.28,0.28,0,2.82
21Day,0,0.37,0,0,0.74,2.22,5.92,0,0,0.74,0.74
