stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell
24hpf,0,0,0,0,0,1,0,0,0,0,0,9,0,0,2,46,0,0,0,0
72hpf,0.56,0,0,0.56,0.28,0,0,0,0,1.13,0.28,3.1,0,0.28,31.29,8.74,1.13,0,0.28,0.28
21Day,1.48,0.37,2.59,0,0.74,0,0.37,0.74,0.37,0,1.11,2.22,0.74,0,8.51,5.92,0.37,1.11,0.37,0
