stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.69,0.28,0,0,0,0,0,0,0,0,0.56,3.1,0,0,0,0,0,0.85,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0,0,10.73,0.37,0,0.37,0,0,0,0,0.37,0,3.33,21.46,0.74,0,0,0,0,6.29,0,0,0,0.37,0.37,0.37,0.37,1.11,0,0,0.37
3Month,0.1,0.1,30.89,0,0.1,0,0.31,0.52,2.18,0.73,0.1,0.62,1.87,0.62,3.33,0.62,0.1,0,0.52,5.3,0,0.1,0,0,0.21,1.46,0,0,0.21,1.04,0.94
22Month,0.14,0.14,12.85,0,0,0,0.41,0.41,6.42,0.14,0,0.96,1.23,0.27,1.91,0.27,0.27,0.14,0,1.37,0,0,0.14,0,0.14,2.32,0,0,0,0,0.14
