stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,565,4,0,13,0,0,0,0,0,0,4,0,0,0,0,1,6,7,35,0,0,0,0,7,136,0,0,7,0,0,0,0,0,1,0,0,0
72hpf,531,16.07,0,45.1,10.15,66.23,1.97,0,1.41,0,0,1.41,0,1.13,0.85,16.07,122.6,9.3,132.19,0,5.07,4.23,1.97,663.75,315.39,2.82,4.23,140.92,1.69,0.28,54.11,7.61,9.86,8.17,0,0,0.28
21Day,532.04,16.28,8.51,256.03,12.21,169.82,22.57,1.85,10.73,0,0,66.6,9.25,79.92,39.59,18.87,133.2,46.99,325.96,0.37,0,36.26,2.59,333.73,151.32,6.66,9.99,113.96,87.69,1.48,24.05,23.68,72.15,13.69,1.48,0.37,50.69
3Month,4.99,0.62,0.31,4.89,0,0,0,0.21,1.46,0.73,0,9.57,1.04,0.42,2.18,0.1,1.87,0.73,2.08,0.31,0.1,0.73,0.42,1.98,0.1,0.1,0.42,0.73,0.52,10.09,0.1,0,0.1,0.1,2.81,2.39,0.62
22Month,2.05,0.27,0.14,0.82,0,0,0,0,0.96,0.27,0,7.52,0.27,0.27,0.68,0.14,0.55,0.96,1.37,0,0.41,0.14,0,0.27,0.27,0.27,0.14,0.27,0.14,8.88,0.14,0.68,0,0,0.27,0,0
