stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0.28,0,0,0,0,0,0,0,0.28,0,0,3.95,0,0.56,0,8.74,2.54,0.28,0,0.56,0,0,0.56,0.28,0,0
21Day,1.85,0,0.74,0.37,0.74,0,0,0,0,0,0,0,0.37,2.96,0,0.74,0.37,7.03,1.48,0.37,0,0,0.37,0,0,0,0,0
3Month,0,0.1,0.73,0,0,0.1,0,2.08,0.21,0.21,0,0,0,0.62,0,0,0.62,0.1,0,5.2,0,0,0,0.1,0,0,0.21,0.1
22Month,0.27,0.14,0.82,0,0,0.14,0.82,10.8,0,0.68,0,0.14,0,0.68,0.55,0,0,0.27,0,2.46,0.14,0,0.14,0.41,0.27,0,0,0.27
