stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0.37,0,0,2.59,0,0,0,0,0,0,0,0,0,0.37,0.74,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0,0.1,14.67,0.21,12.17,0.21,0,0,2.29,0.21,0.21,0.62,0.52,2.18,0.1,0.31,0,0.21,0.1,0.42,0.31,0.83,0.1,0.1,0.31
22Month,0,0.14,0.14,2.05,0,3.14,0.27,0.14,0,3.42,0.14,0,1.5,0,0.55,0.14,0.14,0.14,0,0.27,0.14,0.14,2.05,0,0,0.14
