stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,2,3,0,0,0,1,12,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,5.36,0,0,0,1.69,1.97,0,0.28,0,0.56,0,0
21Day,0,0.37,0.37,0,0,0,0,0,0,0,1.48,0.37,0,0.37,0,1.48,0.37,0
3Month,0,2.08,0,0.1,0.62,0.31,0.21,0.1,0.21,0.1,0.31,0,0.1,0,0.31,0,0,4.68
