stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,2,0,29,0,0,0,0,0,0,0,3,0,0,0,0,1,2,1,22,0,0,0,0,5,50,0,0,0,8,0,0,0,0,1,0,0,0
72hpf,3.66,0.85,0,5.36,2.82,0,0,0,0,0.28,0,0,0,0,0,0,3.38,12.97,0,26.21,0,1.41,1.69,0,7.05,13.53,0.28,0,0,46.79,0.56,0,5.64,0,1.69,0,0,0
21Day,4.07,0,0.37,8.14,1.48,1.85,0,0,0.37,0,0,0,1.85,0,0,0.37,0.37,4.07,0.37,34.78,0,0,2.59,0,2.59,5.55,0,0,0,28.12,1.48,0.74,1.85,0.37,1.48,0,0,0.37
3Month,0.42,3.74,0.62,15.39,0.1,0,0.21,0.21,10.71,1.25,0.1,0,2.81,1.14,0.1,1.98,0.42,11.44,0.73,27.98,4.16,0,1.56,0.52,0.42,0.1,1.87,0.42,0,3.64,0.42,9.36,0.31,0,0.52,3.74,15.6,0.21
22Month,0,3.69,0.55,2.87,0.27,0,0,0,3.96,0.55,2.05,0,24.46,0.68,0.27,1.91,0.41,1.09,0.96,15.17,0.41,0.55,0.55,0,0.27,0.27,0.96,0.14,0.14,2.05,0.14,5.33,0.82,0,0,0.41,0.27,0.14
