stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.41,0,0,0,0,0,0,0.28,0.56,0,0,0,0,0.28,1.13,0.28,0,0,0,0,0.28,0,0
21Day,0.37,0,1.11,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0.74,0.37,0.37,0,0,0.37,0,0,0
3Month,0,0.21,3.64,0.1,0.1,1.04,1.98,0.52,2.39,0.21,0.94,0.42,0.31,0.31,0,1.46,0.21,0,0.94,0.1,0.31,33.7,0,12.9,0.21
22Month,0,0.14,0.68,0,0,0.14,0.55,0.14,1.23,0,0.14,0.14,0.14,0,0.14,0,0,0,0.27,0,0,6.42,0,0,0
