stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,8.46,1.13,0.28,0,0,0,0,0,0.56,0.28,0,0.28,0,0,0
21Day,0,0.37,0.74,0.37,0,0,0,0,0,0,0,0,0,0.74,0,14.8,0.74,0,0.37,0,0,0,0,0.37,0.74,4.44,0.37,0,0,0.37
3Month,0,1.14,0,0,0.1,0.21,0,1.77,0.31,0,0.62,0.31,0,0.31,0,0.1,0,0,0,0,0,0.1,0.73,0,0,0,0,0.21,0.21,0.21
22Month,0.55,0.96,0,0,0.14,0.96,0.27,11.62,0.27,0.27,0.68,0,1.37,0.82,0.14,0,0,0.27,0.14,0.14,0.14,0.14,0.82,0,0,0,0,0,0,0.14
