stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,13,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0.28,0,0,0.28,0.56,0,0.56,0,0.85,1.41,0,0.56,0,0.56
21Day,0.74,0,0,0.37,0.37,0.74,0,0.37,0,0,0,0.74,0.74,0,0,1.48,0.74,0,1.11,0,0.37
3Month,0,0.1,0,0.1,0,0,0.1,0,0.1,0.1,0,0.1,0,0,0.42,0.1,0.1,0,0,0.1,0
22Month,0,0,0.27,0,0,0,0.41,0,0.14,0,0.14,0,0.14,0,0,0,0,0.14,0,0,0
