stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0.28,0,0,0,0,0,0.28,0.56,0,0,0,1.13,1.69,0.28,0,0,0
21Day,1.11,0.37,0,1.11,0.37,0.37,0,0,0,0,0,0,0.74,1.11,0,0,0.74,2.59,0.37,0.37,0,0
3Month,0,0,0,0.21,0,0,0.1,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
22Month,0,0.14,0.14,0.41,0,0,0,0.27,1.78,0.27,0.14,0,0.27,0.27,0.27,0.14,0.14,0,0,0,0,0.14
