stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0.28,1.41,0.28,1.13,0,0,1.97,2.25,0,0.28,0,0.28,0,0,0
21Day,0,1.48,0,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0.37,0.74,0,0.37,0,0,0,0,0
3Month,0,2.29,0.1,0,0.1,0.21,2.91,0.31,0.1,1.25,0.21,0.94,0.52,0.83,0.1,0,0.62,0.1,0.31,0.1,0.21,0.1,0.21,0.21,1.35
22Month,0,0.27,0,0,0,0.27,0.96,0.14,0,0.55,0,0.14,0,0.27,0,0,0,0,0,0,0,0,0,0,0.14
