stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,22,0,0,2,0,0,0,0,0,0,0,0
72hpf,6.76,0.56,0,5.36,1.13,2.82,0,0,0,0,0,0,0,0.28,0,0.85,10.99,0,36.64,0,0.28,1.41,0,119.5,24.24,0.28,0,37.49,0,0,2.54,0,0,1.69,0,0
21Day,11.1,4.07,0,12.21,1.48,3.33,0,0.37,0,0,0,0,0.37,1.85,1.85,0.37,20.35,1.11,122.84,0,0,15.17,0,38.85,11.1,0.74,0.74,59.2,4.07,0,0.74,0.37,1.48,1.11,0,1.85
3Month,3.33,2.7,0.1,5.51,0,0,0.1,0,0.1,0.21,0.73,2.18,0.73,0.1,0.62,0.31,11.65,0.73,16.85,2.6,0,7.18,0.1,0.31,0.21,1.25,0.1,0.62,0.1,1.14,0.31,0,0,0.52,2.91,0.42
22Month,2.19,1.09,0,0.68,0.14,0,0.14,0,0,0.14,0.96,3.96,0.41,0,0.14,0,1.23,0.27,8.2,0,0.14,4.78,0,0.14,0.14,1.09,0.14,0.14,0.14,0.82,0.41,0,0,0.14,0,0.41
