stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,13,0,1,0,0,0,0,0,0,0
72hpf,0.85,0,0.85,0.85,0.28,0,0,0,0,0,0.56,0,2.82,0,0,0,1.69,0.28,3.38,0,0,0,0.28,0,0,0
21Day,0.37,0.74,0.74,0,0.37,0,0,0,0,0.37,0.37,0,12.95,0,2.22,0.74,0,0,9.99,0.74,0,0.37,0.37,0,0,0
3Month,0,0.1,1.66,0,0,0.1,0.1,0.62,0.21,0,0.83,0.21,2.91,0.1,0,0.1,0,0,0,0,0.52,0,0,6.76,0.31,0.1
22Month,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
