stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,10,4,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,56,0,0,0,5,155,0,0,9,0,0,0,0,3,0,0,0
72hpf,1.13,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,1.13,0,5.92,0,0,0.28,36.08,7.33,0,0,4.51,0,0,1.13,0.56,0.28,0,0,0
21Day,0.37,0,0,1.11,0.37,1.85,0,0.74,0,0,0,0,0,0,0,0.74,0,0.74,0.74,2.22,0,0,0,66.23,1.85,0,0,1.48,1.11,0.37,0.74,0,0,0,0,0.37
3Month,0,0.31,0.21,1.35,0.1,0,0.1,0.1,0.31,2.39,0,0,2.7,0.42,0.52,0.83,0.1,0.62,1.56,1.14,0.31,0,0.1,2.08,0,0,0.1,0.1,0.21,6.76,0.83,0,0.1,0.1,1.87,2.08
22Month,0,0.68,0.55,2.32,0,0,0,0,0.68,7.65,0.55,0,14.89,0.41,0,1.5,0,0.14,2.32,4.24,0.14,0.55,0,3.55,0,0.27,0,0.14,0,6.29,1.91,0.27,0,0,0,1.09
