stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0.28,1.41,0,0,1.69,0.85,0,0,0,1.69,0,0,0.28,0.28,0.28,0,0,0
21Day,0,0,0,0.74,0,0.37,0,0.37,0,0,0.37,0,0,0.74,0.37,0,0,1.11,0,2.59,0,0.74,1.85,0.37,0,0.37,0,1.48,0.37,0.37,1.11,0,0.37,0,0,0.37
3Month,0,0.42,0,2.18,0,0,0.21,0,0.1,0.21,4.26,0,3.43,3.12,0.31,0.42,0.1,0.31,1.98,1.56,0.52,1.04,0.94,0,0.21,0.31,0,0.21,0.1,3.95,0.1,0,0.42,0.52,1.35,1.56
22Month,0,0.14,0.14,0.55,0.14,0,0,0,0,0,2.32,0.96,5.88,0.55,0.14,0.41,0.14,0,1.37,0.96,0,0.27,0.41,0.27,0,0.55,0.14,0.14,0,1.5,0,0,0,0.14,0.14,0.68
