stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,22.27,0.56,0,0,0.28,0,0,0,0,0,0,0
21Day,1.11,0.74,2.22,4.07,0,0,0.37,0,0.37,0,0.37,2.59,0.74,6.66,0,0,0.37,113.96,2.22,0,0,2.96,1.48,0,0.37,0.74,2.59,0,1.48
3Month,0,0.1,0.73,0,0,0.21,0.94,0,0,0.21,0,0.1,0.21,0.83,0.1,0,0.21,0.1,0,0.21,0.21,0,0,0.21,0,0,0,0.1,0.31
22Month,0,0,0.14,0,0.14,0,3.01,0.27,0.27,1.5,0,0.14,0.14,0.41,0.14,0.14,0,0.14,0,0,1.37,0,0,0,0.14,0,0,0,0.14
