stage,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,2.22,0.37,0,0,0,0,0,0,0,0,0.74,0,0.37,0,0,0,0,0,0,0
3Month,4.06,0,0.1,0,0.94,0,0.1,0.21,0.21,0.1,12.79,0.1,0.1,0.1,0.1,0,0.1,2.7,1.04,0.1
22Month,1.5,0,0.14,0.14,3.69,0.14,0,0,0,0.14,9.02,0,0,0,0,0.14,0,0.14,0,0
