stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0.28,0,0,0,0
21Day,0.37,0,0.74,0.37,2.22,0,0.74,0,0,0,0,0.37,2.22,0,0,0,1.11,0,0,0,0,0.37,0,0,0.37,0,0,0
3Month,0,0.21,0.1,1.56,0,0.21,0,0,0.1,15.5,0.31,0,17.99,0.62,0.31,0.21,0.31,0.1,0.1,0.1,0.21,0,0.83,0,0.83,0.73,0.21,0.21
22Month,0,0.14,0,0.27,0,0,0,0.41,0.27,4.24,0,0,14.48,0,0,0,0.14,0,0,0,0,0,0,0,0,0.14,0,0
