stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0.28,0,0.28,0,0,0,0,0,0,0,0,2.54,0,0,0,0,0,0,73.56,2.54,0.56,0,0,0.56,0,0,0,5.92,4.51,0,0,0
21Day,0,0,3.33,0,0.74,0.37,0,0,0,0,0.37,0,0,0.74,0,0.37,0,0,1.85,0,3.33,0.37,3.7,0,0,0.37,0,0.74,0,5.92,14.43,0,0,0
3Month,0,0,5.82,0.1,0,0.21,0.42,1.87,2.08,0.52,0.1,0.83,0.21,0.62,0.42,0.83,0.21,0.1,0,0.31,0,0,19.14,0.21,0,0,0.94,35.16,0.21,0.21,0.31,0.83,1.04,0.31
22Month,0,0,4.51,0,0,0,0.68,0.41,3.83,0,0,0.14,0,1.09,0.96,0.68,0,0,0.14,0,0.14,0,14.48,0.14,1.64,0,0.14,10.93,0.14,1.91,0,0.27,0,0
