stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,T_cell
21Day,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0.1,0,0,0.1,0,0,0.73,0,0,0.42,0,0.21,0.1,0.42,0,0,0.1,0,0,0,0.1,0.1,0,0.1
22Month,0.27,0.55,1.78,0.27,0,0,3.14,0.41,8.88,0.14,0.68,0.55,0.14,0.68,76.39,0.96,0.41,0.14,0.14,0.14,0.14,0.14,0,0.14,0.41,1.37
