stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,8,20,0,0,0,0,5,32,0,0,3,0,0,0,0,0,0,0,0
72hpf,10.15,1.13,0,3.66,5.92,6.2,0,0.28,0.28,0,0,0,0,2.82,9.3,1.13,12.4,0,0.85,0.85,0,769.16,21.42,0.56,1.97,10.71,0.56,0.28,4.51,0,0.28,1.41,0,0
21Day,4.44,0.37,0.74,7.03,7.4,5.18,0,0.74,0,0.37,0,1.48,2.59,0.37,4.07,1.11,11.84,0,0.37,2.22,0,240.49,9.62,0.74,4.44,3.33,9.25,0,1.85,1.48,3.7,0,0,1.85
3Month,0.1,0.21,0,0.73,0.73,0,0.1,0,0.42,1.56,0.52,0,0.1,0.1,0.52,0.1,0.83,0.1,0,0.1,0.1,0.62,0.1,0.31,0.1,0,0.21,6.35,0.1,0,0,0,0.52,0.1
22Month,0,0.41,0.27,1.37,0.27,0,0.14,0.14,0.55,8.61,0.27,0,1.09,0,0,0.41,1.64,0,0.41,0.14,0,1.37,0.14,0.14,0.41,0,0.14,3.69,0.55,0,0,0,0,0
