stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0.28,0,1.41,0,0,0.56,0.28,0.28,0,0,0,0.28,0,0.28,0,0,0,0,0
21Day,0.37,0,0.74,4.07,0,0,0,0.37,0,0,1.85,0,0.37,3.7,0,0,1.11,0,0,0,0.74,0,0,0.37,2.22,0,0,0,0.37,0,0.37,0,0,0,0,0
3Month,0.1,0.42,2.7,31.62,0.1,0.52,0,19.24,1.46,0,107.03,1.77,0.31,71.77,3.12,1.35,4.06,2.29,0.1,0.21,6.97,2.5,0.31,0,9.47,0.1,0,0,2.08,1.35,0.1,0,0.1,0.52,0.73,1.77
22Month,0.14,0.27,2.05,9.98,0,0.55,0.14,7.79,1.91,0.41,155.64,0.55,0,44,0.55,0.27,2.19,1.91,0,3.55,2.19,0,0.14,0.14,5.33,0.41,0.27,0.14,0,0.41,0.14,0.14,0,0,0,0.41
