stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,0,1.13,1.41,0,0,0,0,0,0,0,0,0,0,2.82,0,10.43,0,0,0,0.28,174.46,8.17,0,1.41,5.64,0,0,0.85,0,0,0,0,0,0
21Day,3.33,0.37,0,2.96,2.96,0,0,0,0,0,0.37,0,0,1.11,0,1.11,0.37,28.49,0,0,3.7,0,114.7,4.44,0,18.13,2.59,1.85,1.11,1.48,0.37,1.48,0.37,0,0,0.74
3Month,0,0.62,0,0.94,0,0.1,0.1,0.1,0.21,0.1,1.77,0.21,0,0.62,0.1,0.1,0.42,2.91,0.21,0,0.62,0.1,0.94,0,0.1,6.55,0,0.1,2.6,0,0,0,0,0.1,1.14,0.21
22Month,0.14,0.68,0.14,0.27,0,0,0.14,0.14,0.41,0.27,4.92,0.68,0.27,0.27,0,0,0,1.64,0,0.14,0.14,0,0.41,0,0.41,12.3,0,0.14,0.82,0.14,0,0,0,0,0,0
