stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.11,0.37,0,4.07,0,1.11,0,0,0,0,0,1.48,0.74,0,0,1.11,1.11,51.8,1.11,0,0,0,2.96,1.11,0,0.37,0.37,2.96,0,0.74,0.37,0,0,0.37
3Month,0.21,0.21,0.1,6.35,0.21,0,0.52,0.1,0.42,1.77,0,22.05,1.14,0.21,2.7,0.73,2.08,76.14,22.16,3.85,0.1,0.42,0,0,0.1,0,1.25,1.35,0.94,0.1,0,0.52,0.62,1.14
22Month,0,0.27,0,1.5,0,0,0.14,0,0,0.14,0.14,9.02,0.27,0,0.68,0,0.14,4.78,11.62,0.27,0.14,0,0,0,0,0.14,0.27,0.14,0,0,0,0,0,0.27
