stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,8.74,1.41,0.28,0,0,0,0,0,0
21Day,0.37,0,0,0.74,0.37,0,0,0,0,0,0,0.37,0,0,0.37,0,4.81,0,0.37,0,0,0.37,0,0,0
3Month,0,0,0,0.31,0,0.1,0.1,0,1.25,0,0,0.31,0.1,0.1,0.21,0,0.1,0,0.1,0.1,0,0,0,0.1,0.1
22Month,0,0.14,0.14,0.41,0,0,0,0.14,3.01,0.41,0.27,0,0,0.27,0.27,0.27,0.14,0,0.27,0,0.14,0,0.14,0,0
