stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Osteoblast
72hpf,0,0,0,0,0,0,0,0,0.56,0
21Day,0,0,0,0,0,0,0,0.37,0,1.11
22Month,0.14,0.27,0.96,0.14,0.14,0.14,0.14,0,0,0.14
