stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,1.41,0.28,0,0,0,0.56,0.28,0,0.28,0,0,0,0,0,0,0
21Day,0,0.74,0,0.37,0,0,0,0,0.37,0.37,0,0,0,3.7,0.37,0,0,0,0.37,0.74,0,0,0,0,0,0,0,0,1.11
3Month,0.1,1.56,0.1,0,0.62,3.43,0,2.91,106.31,0.1,0.94,0.1,0.73,39.11,1.56,0.31,0.31,0.42,0.1,0,0.1,0,0.21,0.42,0.83,0.31,0.52,1.14,4.37
22Month,0,0.14,0,0,0,1.78,0.14,0.96,13.25,0.27,0.14,0,0.14,10.52,0.14,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0
