stage,Enterocyte,Epithelial_cell,Erythrocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,0,3,0,0,0
72hpf,0,0,0.28,0,0,2.25,0.28,0.28,0,0
21Day,0.37,1.11,0,2.96,0,0.74,0.37,0,0,0.37
3Month,0,0.21,0,0,0.1,0,0,0,0.1,0
