stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.69,0.28,0.56,0,0,0,0,0,0,0,0.28,0,0,4.23,0.28,0.85,0,0,0,0,7.05,1.69,0,0,0.56,0,0,0.28,0.56,0,0,0,0
21Day,0.37,0,0,4.07,0,1.48,0,0.74,0,0,0,0,0,0.37,0,0.37,1.85,1.85,3.33,0,0,1.11,0,2.96,1.48,0,0,1.85,0,0,0.37,0,0.74,0,0,2.22
3Month,0,0.94,0.52,9.57,0,0,0.42,0,0.83,6.45,0,15.5,5.72,0.52,3.22,1.04,3.12,8.53,2.6,0.21,0,1.04,0.52,0.31,0,0.21,0,0.1,0.21,2.08,0.31,0,0,1.14,1.87,5.62
22Month,0.14,1.5,0.27,4.1,0,0,0,0,0.41,5.88,0.68,13.25,2.19,0.55,3.28,0.14,0.82,5.19,2.19,0.14,1.23,0.68,0,0,0,0.14,0.14,0,0,0.55,0.27,0,0,0.27,0,2.19
