stage,Erythrocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0.28,1.13,0,0,0,0.28
21Day,1.11,0,0,0,1.11,0.37,0,0,0.37,0,2.22,14.06,0
3Month,0,0.21,0.1,0.1,1.46,0,0,0,0,0.21,0,0,0.1
22Month,0,0.14,0,0,0.27,0,0,0,0,0,0,0,0
