stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0.28,0,0,0,0,0,0.28,0.28,0,11.84,0,1.13,0,0.85,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0.37,6.66,0,0,1.11,0,0.37,0
3Month,0,0.21,0,0.1,0,0,0.1,0,0,0,0.1,0.1,0,0,0,0,0
22Month,0.14,0.14,0,0.14,0.14,2.87,0.41,0.14,0,0.27,0.14,0,0.14,0,0.14,0,0.27
