stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,6,0,0,0,0,0,0
72hpf,0.85,0,0,0,0,0,0,15.22,0.28,0.56,0,0,0,0
21Day,9.25,0,0,0,0,0,0.37,6.29,0,0.37,0,0.37,0,0
3Month,0.42,0,0,0.31,0.21,0.1,0.1,0,0.1,0.1,0,0,0.1,0.21
22Month,0.14,0.14,0.14,3.42,0,0.55,0,0,0.14,0,0.14,0,0,0.14
