stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0
21Day,0,0.37,0,0,0,0.37,0,0,0,0
3Month,0,0.1,0,0,0.21,0,0,0.1,0,0
22Month,0.14,0.27,0.14,2.87,0.27,0,0.14,0,0,0.14
