stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,T_cell
24hpf,2,0,0,0,0,0,0,0,18,0,1,0
72hpf,0,0.28,0,0,0,0.28,0,6.76,1.97,0.28,0.28,0
21Day,0.37,0,0,0.74,0,0.37,0.37,1.11,0,0,0.37,0
3Month,0.1,0,0.21,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0.14,0.14,0,0,0,0,0,0.14
