stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,21,8,57,0,1,0,219,0,1,4,33,26,83,1,0,2,39,644,1,10,0,0,1,0,0
72hpf,0.28,0,14.66,0.85,0.56,0,0.56,0,0,0,0.56,0,1.13,0,0.28,0,2.54,3.38,0,2.82,0,0,0.28,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0.37,0,0,0,0.37
3Month,0,0,0.21,0,0,0.1,0,0.21,0.1,0,0,0,0.42,0,0,0,0,0,0,0,0,2.7,0,1.98,0
22Month,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0
