stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,0.56,0.56,0.85,0,0.85,0,0,0,0,0,0,0,1.69,1.69,0.28,12.97,0,0,0,9.3,2.82,0,0,1.41,0,0,0,0.56,0,0,0,0,0
21Day,0.74,0,0,3.7,0,1.85,0,0.37,0,0.37,0,0.37,0,3.33,0.37,0.37,1.48,0.74,11.1,0,0.37,0,4.44,1.48,0,0,0.37,0.74,0,0,0,0.37,0,0,0,3.33
3Month,0.31,0.42,0.62,6.87,0.1,0,0.1,0.21,2.81,9.57,0,8.63,266.39,0.52,2.08,1.14,1.25,3.02,9.78,2.39,1.25,0.73,0.31,0,0.31,0.42,0.42,0.52,1.46,13.52,0.31,0,0,0.83,18.93,3.85
22Month,0,0.14,0.14,2.05,0,0,0.14,0,0.41,2.32,0.68,6.42,61.36,0.68,1.09,0.27,0,2.46,6.56,0,0.14,0,0.27,0.14,0,0.27,0,0,0.14,4.1,0,0,0.27,0,0,1.37
