stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Neural_progenitor_cell,Retinal_pigment_epithelial_cell
24hpf,0,1,0,0,0,0,0,0,1
72hpf,0,0.28,0.28,0,0,0,2.54,0.28,0
21Day,0.37,3.33,0,0,0.37,0.37,6.66,0,0
3Month,0,0.31,0,0,0,0,0,0,0
22Month,0,0,0,0.41,0,0,0,0,0
