stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,8,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,0,0,0,0,0,0,0,0,0.28,1.13,0,1.69,0,0,0,12.12,3.38,0,0.56,0,0,0,0,0,0.28,0,0,0
21Day,0,0,0.74,1.11,0,0,0.37,0,0,0,0,0.37,0.37,0.37,1.11,2.22,0,0.37,0,4.81,1.48,0,1.11,0,0,0.37,0.37,0.37,0,0,0,0.37
3Month,0.1,0.73,1.25,0,0.1,0,0.62,0,2.81,0.42,0.21,1.25,0.31,1.66,0.73,1.98,0.42,0.42,0.42,0.42,0,0.1,0.1,0.52,4.68,0,0,0,0,0.42,1.35,0.73
22Month,0,0,0.27,0,0,0.14,0.41,0.14,0.82,0,0.14,0.82,0,0.27,0.14,0,0,0,0,0.14,0.14,0.14,0,0,0.27,0,0,0,0,0,0,0
