stage,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0.28,0,0.56,0.28,0,0
21Day,2.96,0,0,0.74,0.37,0,0,0,0,0
3Month,1.98,0,0.1,0,0.1,0.1,0,0,0.1,0
22Month,0.68,0.14,0,0,0,0,0,0,0,0.14
